order_id,customer_id,product_id,category,amount,quantity,payment_method,order_status,order_ts,coupon_code,shipping_city,discount_rate
o_1192,c_192,p_492,Fashion,952.0,1,Credit Card,DELIVERED,2026-01-22 18:06:00,CPN4,Izmir,0.065
o_1193,c_193,p_493,Sports,956.75,2,Debit Card,SHIPPED,2026-01-22 18:09:00,CPN5,Bursa,0.07
o_1194,c_194,p_494,Toys,961.5,3,Cash,PROCESSING,2026-01-22 18:12:00,CPN6,Antalya,0.075
o_1195,c_195,p_495,Electronics,966.25,1,Bank Transfer,DELIVERED,2026-01-22 18:15:00,CPN7,Istanbul,0.08
o_1196,c_196,p_496,Home,971.0,2,Credit Card,SHIPPED,2026-01-22 18:18:00,CPN1,Ankara,0.085
o_1197,c_197,p_497,Fashion,975.75,3,Debit Card,PROCESSING,2026-01-22 18:21:00,CPN2,Izmir,0.09
o_1198,c_198,p_498,Sports,980.5,1,Cash,DELIVERED,2026-01-22 18:24:00,CPN3,Bursa,0.095
o_1199,c_199,p_499,Toys,985.25,2,Bank Transfer,SHIPPED,2026-01-22 18:27:00,CPN4,Antalya,0.1
o_1200,c_200,p_500,Electronics,990.0,3,Credit Card,PROCESSING,2026-01-22 18:30:00,CPN5,Istanbul,0.005
o_1201,c_201,p_501,Home,994.75,1,Debit Card,DELIVERED,2026-01-22 18:33:00,CPN6,Ankara,0.01
o_1202,c_202,p_502,Fashion,999.5,2,Cash,SHIPPED,2026-01-22 18:36:00,CPN7,Izmir,0.015
o_1203,c_203,p_503,Sports,1004.25,3,Bank Transfer,PROCESSING,2026-01-22 18:39:00,CPN1,Bursa,0.02
o_1204,c_204,p_504,Toys,1009.0,1,Credit Card,DELIVERED,2026-01-22 18:42:00,CPN2,Antalya,0.025
o_1205,c_205,p_505,Electronics,1013.75,2,Debit Card,SHIPPED,2026-01-22 18:45:00,CPN3,Istanbul,0.03
o_1206,c_206,p_506,Home,1018.5,3,Cash,PROCESSING,2026-01-22 18:48:00,CPN4,Ankara,0.035
o_1207,c_207,p_507,Fashion,1023.25,1,Bank Transfer,DELIVERED,2026-01-22 18:51:00,CPN5,Izmir,0.04
o_1208,c_208,p_508,Sports,1028.0,2,Credit Card,SHIPPED,2026-01-22 18:54:00,CPN6,Bursa,0.045
o_1209,c_209,p_509,Toys,1032.75,3,Debit Card,PROCESSING,2026-01-22 18:57:00,CPN7,Antalya,0.05
o_1210,c_210,p_510,Electronics,1037.5,1,Cash,DELIVERED,2026-01-22 19:00:00,CPN1,Istanbul,0.055
o_1211,c_211,p_511,Home,1042.25,2,Bank Transfer,SHIPPED,2026-01-22 19:03:00,CPN2,Ankara,0.06
o_1212,c_212,p_512,Fashion,1047.0,3,Credit Card,PROCESSING,2026-01-22 19:06:00,CPN3,Izmir,0.065
o_1213,c_213,p_513,Sports,1051.75,1,Debit Card,DELIVERED,2026-01-22 19:09:00,CPN4,Bursa,0.07
o_1214,c_214,p_514,Toys,1056.5,2,Cash,SHIPPED,2026-01-22 19:12:00,CPN5,Antalya,0.075
o_1215,c_215,p_515,Electronics,1061.25,3,Bank Transfer,PROCESSING,2026-01-22 19:15:00,CPN6,Istanbul,0.08
o_1216,c_216,p_516,Home,1066.0,1,Credit Card,DELIVERED,2026-01-22 19:18:00,CPN7,Ankara,0.085
o_1217,c_217,p_517,Fashion,1070.75,2,Debit Card,SHIPPED,2026-01-22 19:21:00,CPN1,Izmir,0.09
o_1218,c_218,p_518,Sports,1075.5,3,Cash,PROCESSING,2026-01-22 19:24:00,CPN2,Bursa,0.095
o_1219,c_219,p_519,Toys,1080.25,1,Bank Transfer,DELIVERED,2026-01-22 19:27:00,CPN3,Antalya,0.1
o_1220,c_220,p_520,Electronics,1085.0,2,Credit Card,SHIPPED,2026-01-22 19:30:00,CPN4,Istanbul,0.005
o_1221,c_221,p_521,Home,1089.75,3,Debit Card,PROCESSING,2026-01-22 19:33:00,CPN5,Ankara,0.01
o_1222,c_222,p_522,Fashion,1094.5,1,Cash,DELIVERED,2026-01-22 19:36:00,CPN6,Izmir,0.015
o_1223,c_223,p_523,Sports,1099.25,2,Bank Transfer,SHIPPED,2026-01-22 19:39:00,CPN7,Bursa,0.02
o_1224,c_224,p_524,Toys,1104.0,3,Credit Card,PROCESSING,2026-01-22 19:42:00,CPN1,Antalya,0.025
o_1225,c_225,p_525,Electronics,1108.75,1,Debit Card,DELIVERED,2026-01-22 19:45:00,CPN2,Istanbul,0.03
o_1226,c_226,p_526,Home,1113.5,2,Cash,SHIPPED,2026-01-22 19:48:00,CPN3,Ankara,0.035
o_1227,c_227,p_527,Fashion,1118.25,3,Bank Transfer,PROCESSING,2026-01-22 19:51:00,CPN4,Izmir,0.04
o_1228,c_228,p_528,Sports,1123.0,1,Credit Card,DELIVERED,2026-01-22 19:54:00,CPN5,Bursa,0.045
o_1229,c_229,p_529,Toys,1127.75,2,Debit Card,SHIPPED,2026-01-22 19:57:00,CPN6,Antalya,0.05
o_1230,c_230,p_530,Electronics,1132.5,3,Cash,PROCESSING,2026-01-22 20:00:00,CPN7,Istanbul,0.055
o_1231,c_231,p_531,Home,1137.25,1,Bank Transfer,DELIVERED,2026-01-22 20:03:00,CPN1,Ankara,0.06
o_1232,c_232,p_532,Fashion,1142.0,2,Credit Card,SHIPPED,2026-01-22 20:06:00,CPN2,Izmir,0.065
o_1233,c_233,p_533,Sports,1146.75,3,Debit Card,PROCESSING,2026-01-22 20:09:00,CPN3,Bursa,0.07
o_1234,c_234,p_534,Toys,1151.5,1,Cash,DELIVERED,2026-01-22 20:12:00,CPN4,Antalya,0.075
o_1235,c_235,p_535,Electronics,1156.25,2,Bank Transfer,SHIPPED,2026-01-22 20:15:00,CPN5,Istanbul,0.08
o_1236,c_236,p_536,Home,1161.0,3,Credit Card,PROCESSING,2026-01-22 20:18:00,CPN6,Ankara,0.085
o_1237,c_237,p_537,Fashion,1165.75,1,Debit Card,DELIVERED,2026-01-22 20:21:00,CPN7,Izmir,0.09
o_1238,c_238,p_538,Sports,1170.5,2,Cash,SHIPPED,2026-01-22 20:24:00,CPN1,Bursa,0.095
o_1239,c_239,p_539,Toys,1175.25,3,Bank Transfer,PROCESSING,2026-01-22 20:27:00,CPN2,Antalya,0.1
o_1240,c_240,p_540,Electronics,1180.0,1,Credit Card,DELIVERED,2026-01-22 20:30:00,CPN3,Istanbul,0.005
o_1241,c_241,p_541,Home,1184.75,2,Debit Card,SHIPPED,2026-01-22 20:33:00,CPN4,Ankara,0.01
o_1242,c_242,p_542,Fashion,1189.5,3,Cash,PROCESSING,2026-01-22 20:36:00,CPN5,Izmir,0.015
o_1243,c_243,p_543,Sports,1194.25,1,Bank Transfer,DELIVERED,2026-01-22 20:39:00,CPN6,Bursa,0.02
o_1244,c_244,p_544,Toys,1199.0,2,Credit Card,SHIPPED,2026-01-22 20:42:00,CPN7,Antalya,0.025
o_1245,c_245,p_545,Electronics,1203.75,3,Debit Card,PROCESSING,2026-01-22 20:45:00,CPN1,Istanbul,0.03
o_1246,c_246,p_546,Home,1208.5,1,Cash,DELIVERED,2026-01-22 20:48:00,CPN2,Ankara,0.035
o_1247,c_247,p_547,Fashion,1213.25,2,Bank Transfer,SHIPPED,2026-01-22 20:51:00,CPN3,Izmir,0.04
o_1248,c_248,p_548,Sports,1218.0,3,Credit Card,PROCESSING,2026-01-22 20:54:00,CPN4,Bursa,0.045
o_1249,c_249,p_549,Toys,1222.75,1,Debit Card,DELIVERED,2026-01-22 20:57:00,CPN5,Antalya,0.05
o_1250,c_250,p_550,Electronics,1227.5,2,Cash,SHIPPED,2026-01-22 21:00:00,CPN6,Istanbul,0.055
o_1251,c_251,p_551,Home,1232.25,3,Bank Transfer,PROCESSING,2026-01-22 21:03:00,CPN7,Ankara,0.06
o_1252,c_252,p_552,Fashion,1237.0,1,Credit Card,DELIVERED,2026-01-22 21:06:00,CPN1,Izmir,0.065
o_1253,c_253,p_553,Sports,1241.75,2,Debit Card,SHIPPED,2026-01-22 21:09:00,CPN2,Bursa,0.07
o_1254,c_254,p_554,Toys,1246.5,3,Cash,PROCESSING,2026-01-22 21:12:00,CPN3,Antalya,0.075
o_1255,c_255,p_555,Electronics,1251.25,1,Bank Transfer,DELIVERED,2026-01-22 21:15:00,CPN4,Istanbul,0.08
o_1256,c_256,p_556,Home,1256.0,2,Credit Card,SHIPPED,2026-01-22 21:18:00,CPN5,Ankara,0.085
o_1257,c_257,p_557,Fashion,1260.75,3,Debit Card,PROCESSING,2026-01-22 21:21:00,CPN6,Izmir,0.09
o_1258,c_258,p_558,Sports,1265.5,1,Cash,DELIVERED,2026-01-22 21:24:00,CPN7,Bursa,0.095
o_1259,c_259,p_559,Toys,1270.25,2,Bank Transfer,SHIPPED,2026-01-22 21:27:00,CPN1,Antalya,0.1
o_1260,c_260,p_560,Electronics,1275.0,3,Credit Card,PROCESSING,2026-01-22 21:30:00,CPN2,Istanbul,0.005
o_1261,c_261,p_561,Home,1279.75,1,Debit Card,DELIVERED,2026-01-22 21:33:00,CPN3,Ankara,0.01
o_1262,c_262,p_562,Fashion,1284.5,2,Cash,SHIPPED,2026-01-22 21:36:00,CPN4,Izmir,0.015
o_1263,c_263,p_563,Sports,1289.25,3,Bank Transfer,PROCESSING,2026-01-22 21:39:00,CPN5,Bursa,0.02
o_1264,c_264,p_564,Toys,1294.0,1,Credit Card,DELIVERED,2026-01-22 21:42:00,CPN6,Antalya,0.025
o_1265,c_265,p_565,Electronics,1298.75,2,Debit Card,SHIPPED,2026-01-22 21:45:00,CPN7,Istanbul,0.03
o_1266,c_266,p_566,Home,1303.5,3,Cash,PROCESSING,2026-01-22 21:48:00,CPN1,Ankara,0.035
o_1267,c_267,p_567,Fashion,1308.25,1,Bank Transfer,DELIVERED,2026-01-22 21:51:00,CPN2,Izmir,0.04
o_1268,c_268,p_568,Sports,1313.0,2,Credit Card,SHIPPED,2026-01-22 21:54:00,CPN3,Bursa,0.045
o_1269,c_269,p_569,Toys,1317.75,3,Debit Card,PROCESSING,2026-01-22 21:57:00,CPN4,Antalya,0.05
o_1270,c_270,p_570,Electronics,1322.5,1,Cash,DELIVERED,2026-01-22 22:00:00,CPN5,Istanbul,0.055
o_1271,c_271,p_571,Home,1327.25,2,Bank Transfer,SHIPPED,2026-01-22 22:03:00,CPN6,Ankara,0.06
o_1272,c_272,p_572,Fashion,1332.0,3,Credit Card,PROCESSING,2026-01-22 22:06:00,CPN7,Izmir,0.065
o_1273,c_273,p_573,Sports,1336.75,1,Debit Card,DELIVERED,2026-01-22 22:09:00,CPN1,Bursa,0.07
o_1274,c_274,p_574,Toys,1341.5,2,Cash,SHIPPED,2026-01-22 22:12:00,CPN2,Antalya,0.075
o_1275,c_275,p_575,Electronics,1346.25,3,Bank Transfer,PROCESSING,2026-01-22 22:15:00,CPN3,Istanbul,0.08
o_1276,c_276,p_576,Home,1351.0,1,Credit Card,DELIVERED,2026-01-22 22:18:00,CPN4,Ankara,0.085
o_1277,c_277,p_577,Fashion,1355.75,2,Debit Card,SHIPPED,2026-01-22 22:21:00,CPN5,Izmir,0.09
o_1278,c_278,p_578,Sports,1360.5,3,Cash,PROCESSING,2026-01-22 22:24:00,CPN6,Bursa,0.095
o_1279,c_279,p_579,Toys,1365.25,1,Bank Transfer,DELIVERED,2026-01-22 22:27:00,CPN7,Antalya,0.1
o_1280,c_280,p_580,Electronics,1370.0,2,Credit Card,SHIPPED,2026-01-22 22:30:00,CPN1,Istanbul,0.005
o_1281,c_281,p_581,Home,1374.75,3,Debit Card,PROCESSING,2026-01-22 22:33:00,CPN2,Ankara,0.01
o_1282,c_282,p_582,Fashion,1379.5,1,Cash,DELIVERED,2026-01-22 22:36:00,CPN3,Izmir,0.015
o_1283,c_283,p_583,Sports,1384.25,2,Bank Transfer,SHIPPED,2026-01-22 22:39:00,CPN4,Bursa,0.02
o_1284,c_284,p_584,Toys,1389.0,3,Credit Card,PROCESSING,2026-01-22 22:42:00,CPN5,Antalya,0.025
o_1285,c_285,p_585,Electronics,1393.75,1,Debit Card,DELIVERED,2026-01-22 22:45:00,CPN6,Istanbul,0.03
o_1286,c_286,p_586,Home,1398.5,2,Cash,SHIPPED,2026-01-22 22:48:00,CPN7,Ankara,0.035
o_1287,c_287,p_587,Fashion,1403.25,3,Bank Transfer,PROCESSING,2026-01-22 22:51:00,CPN1,Izmir,0.04
o_1288,c_288,p_588,Sports,1408.0,1,Credit Card,DELIVERED,2026-01-22 22:54:00,CPN2,Bursa,0.045
o_1289,c_289,p_589,Toys,1412.75,2,Debit Card,SHIPPED,2026-01-22 22:57:00,CPN3,Antalya,0.05
o_1290,c_290,p_590,Electronics,1417.5,3,Cash,PROCESSING,2026-01-22 23:00:00,CPN4,Istanbul,0.055
o_1291,c_291,p_591,Home,1422.25,1,Bank Transfer,DELIVERED,2026-01-22 23:03:00,CPN5,Ankara,0.06
o_1292,c_292,p_592,Fashion,1427.0,2,Credit Card,SHIPPED,2026-01-22 23:06:00,CPN6,Izmir,0.065
o_1293,c_293,p_593,Sports,1431.75,3,Debit Card,PROCESSING,2026-01-22 23:09:00,CPN7,Bursa,0.07
o_1294,c_294,p_594,Toys,1436.5,1,Cash,DELIVERED,2026-01-22 23:12:00,CPN1,Antalya,0.075
o_1295,c_295,p_595,Electronics,1441.25,2,Bank Transfer,SHIPPED,2026-01-22 23:15:00,CPN2,Istanbul,0.08
o_1296,c_296,p_596,Home,1446.0,3,Credit Card,PROCESSING,2026-01-22 23:18:00,CPN3,Ankara,0.085
o_1297,c_297,p_597,Fashion,1450.75,1,Debit Card,DELIVERED,2026-01-22 23:21:00,CPN4,Izmir,0.09
o_1298,c_298,p_598,Sports,1455.5,2,Cash,SHIPPED,2026-01-22 23:24:00,CPN5,Bursa,0.095
o_1299,c_299,p_599,Toys,1460.25,3,Bank Transfer,PROCESSING,2026-01-22 23:27:00,CPN6,Antalya,0.1
o_1300,c_300,p_600,Electronics,1465.0,1,Credit Card,DELIVERED,2026-01-22 23:30:00,CPN7,Istanbul,0.005
o_1301,c_301,p_601,Home,1469.75,2,Debit Card,SHIPPED,2026-01-22 23:33:00,CPN1,Ankara,0.01
o_1302,c_302,p_602,Fashion,1474.5,3,Cash,PROCESSING,2026-01-22 23:36:00,CPN2,Izmir,0.015
o_1303,c_303,p_603,Sports,1479.25,1,Bank Transfer,DELIVERED,2026-01-22 23:39:00,CPN3,Bursa,0.02
o_1304,c_304,p_604,Toys,1484.0,2,Credit Card,SHIPPED,2026-01-22 23:42:00,CPN4,Antalya,0.025
o_1305,c_305,p_605,Electronics,1488.75,3,Debit Card,PROCESSING,2026-01-22 23:45:00,CPN5,Istanbul,0.03
o_1306,c_306,p_606,Home,1493.5,1,Cash,DELIVERED,2026-01-22 23:48:00,CPN6,Ankara,0.035
o_1307,c_307,p_607,Fashion,1498.25,2,Bank Transfer,SHIPPED,2026-01-22 23:51:00,CPN7,Izmir,0.04
o_1308,c_308,p_608,Sports,1503.0,3,Credit Card,PROCESSING,2026-01-22 23:54:00,CPN1,Bursa,0.045
o_1309,c_309,p_609,Toys,1507.75,1,Debit Card,DELIVERED,2026-01-22 23:57:00,CPN2,Antalya,0.05
o_1310,c_310,p_610,Electronics,1512.5,2,Cash,SHIPPED,2026-01-23 00:00:00,CPN3,Istanbul,0.055
o_1311,c_311,p_611,Home,1517.25,3,Bank Transfer,PROCESSING,2026-01-23 00:03:00,CPN4,Ankara,0.06
o_1312,c_312,p_612,Fashion,1522.0,1,Credit Card,DELIVERED,2026-01-23 00:06:00,CPN5,Izmir,0.065
o_1313,c_313,p_613,Sports,1526.75,2,Debit Card,SHIPPED,2026-01-23 00:09:00,CPN6,Bursa,0.07
o_1314,c_314,p_614,Toys,1531.5,3,Cash,PROCESSING,2026-01-23 00:12:00,CPN7,Antalya,0.075
o_1315,c_315,p_615,Electronics,1536.25,1,Bank Transfer,DELIVERED,2026-01-23 00:15:00,CPN1,Istanbul,0.08
o_1316,c_316,p_616,Home,1541.0,2,Credit Card,SHIPPED,2026-01-23 00:18:00,CPN2,Ankara,0.085
o_1317,c_317,p_617,Fashion,1545.75,3,Debit Card,PROCESSING,2026-01-23 00:21:00,CPN3,Izmir,0.09
o_1318,c_318,p_618,Sports,1550.5,1,Cash,DELIVERED,2026-01-23 00:24:00,CPN4,Bursa,0.095
o_1319,c_319,p_619,Toys,1555.25,2,Bank Transfer,SHIPPED,2026-01-23 00:27:00,CPN5,Antalya,0.1
o_1320,c_320,p_620,Electronics,1560.0,3,Credit Card,PROCESSING,2026-01-23 00:30:00,CPN6,Istanbul,0.005
o_1321,c_321,p_621,Home,1564.75,1,Debit Card,DELIVERED,2026-01-23 00:33:00,CPN7,Ankara,0.01
o_1322,c_322,p_622,Fashion,1569.5,2,Cash,SHIPPED,2026-01-23 00:36:00,CPN1,Izmir,0.015
o_1323,c_323,p_623,Sports,1574.25,3,Bank Transfer,PROCESSING,2026-01-23 00:39:00,CPN2,Bursa,0.02
o_1324,c_324,p_624,Toys,1579.0,1,Credit Card,DELIVERED,2026-01-23 00:42:00,CPN3,Antalya,0.025
o_1325,c_325,p_625,Electronics,1583.75,2,Debit Card,SHIPPED,2026-01-23 00:45:00,CPN4,Istanbul,0.03
o_1326,c_326,p_626,Home,1588.5,3,Cash,PROCESSING,2026-01-23 00:48:00,CPN5,Ankara,0.035
o_1327,c_327,p_627,Fashion,1593.25,1,Bank Transfer,DELIVERED,2026-01-23 00:51:00,CPN6,Izmir,0.04
o_1328,c_328,p_628,Sports,1598.0,2,Credit Card,SHIPPED,2026-01-23 00:54:00,CPN7,Bursa,0.045
o_1329,c_329,p_629,Toys,1602.75,3,Debit Card,PROCESSING,2026-01-23 00:57:00,CPN1,Antalya,0.05
o_1330,c_330,p_630,Electronics,1607.5,1,Cash,DELIVERED,2026-01-23 01:00:00,CPN2,Istanbul,0.055
o_1331,c_331,p_631,Home,1612.25,2,Bank Transfer,SHIPPED,2026-01-23 01:03:00,CPN3,Ankara,0.06
o_1332,c_332,p_632,Fashion,1617.0,3,Credit Card,PROCESSING,2026-01-23 01:06:00,CPN4,Izmir,0.065
o_1333,c_333,p_633,Sports,1621.75,1,Debit Card,DELIVERED,2026-01-23 01:09:00,CPN5,Bursa,0.07
o_1334,c_334,p_634,Toys,1626.5,2,Cash,SHIPPED,2026-01-23 01:12:00,CPN6,Antalya,0.075
o_1335,c_335,p_635,Electronics,1631.25,3,Bank Transfer,PROCESSING,2026-01-23 01:15:00,CPN7,Istanbul,0.08
o_1336,c_336,p_636,Home,1636.0,1,Credit Card,DELIVERED,2026-01-23 01:18:00,CPN1,Ankara,0.085
o_1337,c_337,p_637,Fashion,1640.75,2,Debit Card,SHIPPED,2026-01-23 01:21:00,CPN2,Izmir,0.09
o_1338,c_338,p_638,Sports,1645.5,3,Cash,PROCESSING,2026-01-23 01:24:00,CPN3,Bursa,0.095
o_1339,c_339,p_639,Toys,1650.25,1,Bank Transfer,DELIVERED,2026-01-23 01:27:00,CPN4,Antalya,0.1
o_1340,c_340,p_640,Electronics,1655.0,2,Credit Card,SHIPPED,2026-01-23 01:30:00,CPN5,Istanbul,0.005
o_1341,c_341,p_641,Home,1659.75,3,Debit Card,PROCESSING,2026-01-23 01:33:00,CPN6,Ankara,0.01
o_1342,c_342,p_642,Fashion,1664.5,1,Cash,DELIVERED,2026-01-23 01:36:00,CPN7,Izmir,0.015
o_1343,c_343,p_643,Sports,1669.25,2,Bank Transfer,SHIPPED,2026-01-23 01:39:00,CPN1,Bursa,0.02
o_1344,c_344,p_644,Toys,1674.0,3,Credit Card,PROCESSING,2026-01-23 01:42:00,CPN2,Antalya,0.025
o_1345,c_345,p_645,Electronics,1678.75,1,Debit Card,DELIVERED,2026-01-23 01:45:00,CPN3,Istanbul,0.03
o_1346,c_346,p_646,Home,1683.5,2,Cash,SHIPPED,2026-01-23 01:48:00,CPN4,Ankara,0.035
o_1347,c_347,p_647,Fashion,1688.25,3,Bank Transfer,PROCESSING,2026-01-23 01:51:00,CPN5,Izmir,0.04
o_1348,c_348,p_648,Sports,1693.0,1,Credit Card,DELIVERED,2026-01-23 01:54:00,CPN6,Bursa,0.045
o_1349,c_349,p_649,Toys,1697.75,2,Debit Card,SHIPPED,2026-01-23 01:57:00,CPN7,Antalya,0.05
o_1350,c_350,p_650,Electronics,1702.5,3,Cash,PROCESSING,2026-01-23 02:00:00,CPN1,Istanbul,0.055
