order_id,customer_id,order_channel,region,product_category,order_amount,quantity,payment_method,order_status,order_ts
USO-1019,CUST-96316,ONLINE,US,Electronics,1335.97,2,Bank Transfer,DELIVERED,2026-01-01 14:23:00
USO-1020,CUST-28401,ONLINE,US,Sports,1039.76,2,Credit Card,SHIPPED,2026-01-01 15:40:00
USO-1021,CUST-89872,ONLINE,US,Electronics,1186.61,1,Credit Card,DELIVERED,2026-01-01 13:33:00
USO-1022,CUST-85523,ONLINE,US,Sports,646.11,4,Apple Pay,DELIVERED,2026-01-01 16:20:00
USO-1023,CUST-34405,ONLINE,US,Electronics,368.08,5,Apple Pay,SHIPPED,2026-01-01 14:45:00
USO-1024,CUST-99508,ONLINE,US,Electronics,881.84,3,Credit Card,PROCESSING,2026-01-01 15:24:00
USO-1025,CUST-28017,ONLINE,US,Grocery,1030.69,2,Google Pay,PROCESSING,2026-01-01 11:55:00
USO-1026,CUST-32796,ONLINE,US,Electronics,551.07,1,Bank Transfer,SHIPPED,2026-01-01 17:40:00
USO-1027,CUST-79050,ONLINE,US,Sports,1121.3,3,PayPal,SHIPPED,2026-01-01 12:36:00
USO-1028,CUST-22201,ONLINE,US,Home,41.06,2,Google Pay,DELIVERED,2026-01-01 14:36:00
USO-1029,CUST-50966,ONLINE,US,Beauty,59.04,1,PayPal,DELIVERED,2026-01-01 16:15:00
USO-1030,CUST-84604,ONLINE,US,Books,258.05,4,Google Pay,PROCESSING,2026-01-01 14:00:00
USO-1031,CUST-85750,ONLINE,US,Fashion,1210.46,2,PayPal,DELIVERED,2026-01-01 18:49:00
USO-1032,CUST-33937,ONLINE,US,Toys,513.99,4,PayPal,PROCESSING,2026-01-01 17:32:00
USO-1033,CUST-84667,ONLINE,US,Grocery,1020.21,1,PayPal,SHIPPED,2026-01-01 17:48:00
USO-1034,CUST-39060,ONLINE,US,Beauty,78.57,5,Google Pay,SHIPPED,2026-01-01 14:40:00
USO-1035,CUST-74602,ONLINE,US,Fashion,1069.59,3,Bank Transfer,PROCESSING,2026-01-01 13:05:00
USO-1036,CUST-79170,ONLINE,US,Beauty,1028.03,4,Apple Pay,DELIVERED,2026-01-01 19:48:00
USO-1037,CUST-71675,ONLINE,US,Books,815.73,1,Google Pay,PROCESSING,2026-01-01 18:52:00
USO-1038,CUST-59842,ONLINE,US,Toys,1474.99,2,PayPal,PROCESSING,2026-01-01 18:30:00
USO-1039,CUST-30833,ONLINE,US,Fashion,1293.41,3,Apple Pay,PROCESSING,2026-01-01 14:12:00
USO-1040,CUST-57191,ONLINE,US,Sports,148.11,5,Credit Card,SHIPPED,2026-01-01 13:40:00
USO-1041,CUST-15888,ONLINE,US,Books,1228.81,5,PayPal,PROCESSING,2026-01-01 19:56:00
USO-1042,CUST-54435,ONLINE,US,Grocery,629.46,2,Bank Transfer,SHIPPED,2026-01-01 14:36:00
USO-1043,CUST-82095,ONLINE,US,Fashion,1484.35,4,Apple Pay,SHIPPED,2026-01-01 22:37:00
USO-1044,CUST-62981,ONLINE,US,Beauty,197.73,1,Google Pay,SHIPPED,2026-01-01 15:36:00
USO-1045,CUST-92951,ONLINE,US,Beauty,202.56,3,Google Pay,DELIVERED,2026-01-01 19:30:00
USO-1046,CUST-27568,ONLINE,US,Fashion,1370.05,4,PayPal,DELIVERED,2026-01-01 22:02:00
USO-1047,CUST-91358,ONLINE,US,Beauty,770.96,1,Bank Transfer,PROCESSING,2026-01-01 15:16:00
USO-1048,CUST-81114,ONLINE,US,Toys,1421.18,4,Google Pay,SHIPPED,2026-01-01 23:24:00
USO-1049,CUST-22875,ONLINE,US,Sports,205.0,3,Credit Card,PROCESSING,2026-01-01 22:53:00
USO-1050,CUST-26719,ONLINE,US,Toys,1296.44,5,PayPal,PROCESSING,2026-01-01 20:40:00
USO-1051,CUST-30335,ONLINE,US,Beauty,125.51,2,Bank Transfer,PROCESSING,2026-01-01 20:54:00
USO-1052,CUST-94045,ONLINE,US,Toys,1253.02,1,Google Pay,PROCESSING,2026-01-02 01:28:00
USO-1053,CUST-65152,ONLINE,US,Electronics,1009.72,4,Bank Transfer,SHIPPED,2026-01-01 13:25:00
USO-1054,CUST-85103,ONLINE,US,Home,1429.22,5,PayPal,SHIPPED,2026-01-01 22:30:00
USO-1055,CUST-35240,ONLINE,US,Books,264.93,3,Bank Transfer,DELIVERED,2026-01-01 19:05:00
USO-1056,CUST-60155,ONLINE,US,Toys,298.7,5,Google Pay,DELIVERED,2026-01-01 22:04:00
USO-1057,CUST-28342,ONLINE,US,Books,767.3,3,Apple Pay,SHIPPED,2026-01-01 14:42:00
USO-1058,CUST-58586,ONLINE,US,Toys,1467.31,4,PayPal,PROCESSING,2026-01-02 03:22:00
USO-1059,CUST-35461,ONLINE,US,Electronics,762.41,5,Google Pay,PROCESSING,2026-01-01 14:54:00
USO-1060,CUST-98879,ONLINE,US,Beauty,1042.95,2,Credit Card,DELIVERED,2026-01-01 19:00:00
USO-1061,CUST-75163,ONLINE,US,Books,62.75,2,PayPal,DELIVERED,2026-01-01 19:10:00
USO-1062,CUST-28769,ONLINE,US,Toys,164.24,1,Credit Card,SHIPPED,2026-01-02 03:36:00
USO-1063,CUST-15533,ONLINE,US,Electronics,1076.01,3,Apple Pay,SHIPPED,2026-01-01 22:39:00
USO-1064,CUST-98565,ONLINE,US,Electronics,840.21,5,Apple Pay,PROCESSING,2026-01-01 19:40:00
USO-1065,CUST-94612,ONLINE,US,Grocery,1185.64,5,Apple Pay,PROCESSING,2026-01-01 19:50:00
USO-1066,CUST-63166,ONLINE,US,Sports,1226.48,3,Bank Transfer,SHIPPED,2026-01-01 20:00:00
USO-1067,CUST-17492,ONLINE,US,Home,1334.59,3,Bank Transfer,DELIVERED,2026-01-01 20:10:00
USO-1068,CUST-21237,ONLINE,US,Grocery,607.44,1,Bank Transfer,SHIPPED,2026-01-01 23:44:00
USO-1069,CUST-23533,ONLINE,US,Beauty,183.12,3,Apple Pay,PROCESSING,2026-01-01 22:48:00
USO-1070,CUST-12701,ONLINE,US,Toys,181.19,3,Bank Transfer,PROCESSING,2026-01-01 21:50:00
USO-1071,CUST-23810,ONLINE,US,Sports,528.41,5,Apple Pay,DELIVERED,2026-01-01 19:39:00
USO-1072,CUST-94196,ONLINE,US,Books,867.34,2,PayPal,PROCESSING,2026-01-01 15:00:00
USO-1073,CUST-31639,ONLINE,US,Grocery,471.33,1,Bank Transfer,SHIPPED,2026-01-02 05:41:00
USO-1074,CUST-49254,ONLINE,US,Home,1470.95,1,Apple Pay,PROCESSING,2026-01-02 03:30:00
USO-1075,CUST-77678,ONLINE,US,Home,1064.71,1,Apple Pay,DELIVERED,2026-01-01 22:45:00
USO-1076,CUST-93050,ONLINE,US,Electronics,797.23,3,Apple Pay,PROCESSING,2026-01-02 02:44:00
USO-1077,CUST-77541,ONLINE,US,Home,1440.91,3,Credit Card,SHIPPED,2026-01-01 15:25:00
USO-1078,CUST-16114,ONLINE,US,Electronics,567.16,5,Credit Card,DELIVERED,2026-01-01 16:48:00
USO-1079,CUST-78334,ONLINE,US,Sports,1116.72,5,Credit Card,SHIPPED,2026-01-01 20:51:00
USO-1080,CUST-83703,ONLINE,US,Grocery,1495.26,3,Credit Card,SHIPPED,2026-01-02 10:20:00
USO-1081,CUST-76109,ONLINE,US,Sports,1187.25,3,Apple Pay,PROCESSING,2026-01-01 22:30:00
USO-1082,CUST-46652,ONLINE,US,Toys,434.61,3,Credit Card,DELIVERED,2026-01-01 22:40:00
USO-1083,CUST-94251,ONLINE,US,Home,1251.13,1,Bank Transfer,PROCESSING,2026-01-01 18:41:00
USO-1084,CUST-45921,ONLINE,US,Grocery,285.38,2,Google Pay,DELIVERED,2026-01-02 01:48:00
USO-1085,CUST-80874,ONLINE,US,Toys,1204.34,3,Google Pay,PROCESSING,2026-01-02 00:35:00
USO-1086,CUST-33195,ONLINE,US,Fashion,1463.99,2,Apple Pay,SHIPPED,2026-01-02 07:56:00
USO-1087,CUST-11945,ONLINE,US,Books,584.04,2,Google Pay,SHIPPED,2026-01-02 03:51:00
USO-1088,CUST-19190,ONLINE,US,Sports,37.5,2,Bank Transfer,DELIVERED,2026-01-02 08:28:00
USO-1089,CUST-57457,ONLINE,US,Beauty,107.48,1,Bank Transfer,SHIPPED,2026-01-01 16:25:00
USO-1090,CUST-72191,ONLINE,US,Electronics,241.28,3,PayPal,SHIPPED,2026-01-02 07:30:00
USO-1091,CUST-29577,ONLINE,US,Books,437.0,4,Bank Transfer,PROCESSING,2026-01-02 07:45:00
USO-1092,CUST-65078,ONLINE,US,Fashion,42.47,3,Bank Transfer,PROCESSING,2026-01-02 08:00:00
USO-1093,CUST-47628,ONLINE,US,Electronics,347.13,2,PayPal,SHIPPED,2026-01-02 02:03:00
USO-1094,CUST-23753,ONLINE,US,Grocery,558.18,4,Apple Pay,PROCESSING,2026-01-02 10:04:00
USO-1095,CUST-96756,ONLINE,US,Toys,728.83,2,Apple Pay,PROCESSING,2026-01-02 02:25:00
USO-1096,CUST-69405,ONLINE,US,Home,1072.95,4,Google Pay,SHIPPED,2026-01-02 09:00:00
USO-1097,CUST-61183,ONLINE,US,Fashion,1194.89,1,Bank Transfer,PROCESSING,2026-01-02 10:52:00
USO-1098,CUST-43596,ONLINE,US,Beauty,588.79,2,PayPal,DELIVERED,2026-01-02 12:46:00
USO-1099,CUST-35442,ONLINE,US,Grocery,1073.89,5,Credit Card,SHIPPED,2026-01-02 16:21:00
USO-1100,CUST-81005,ONLINE,US,Beauty,866.13,3,Credit Card,PROCESSING,2026-01-02 06:40:00
