order_id,customer_id,product_id,category,amount,quantity,payment_method,order_status,order_ts
o_1128,c_128,p_328,Sports,702.0,1,Credit Card,PROCESSING,2026-01-22 14:54:00
o_1129,c_129,p_329,Toys,707.25,2,Debit Card,DELIVERED,2026-01-22 14:57:00
o_1130,c_130,p_330,Electronics,712.5,3,Cash,SHIPPED,2026-01-22 15:00:00
o_1131,c_131,p_331,Home,717.75,4,Bank Transfer,PROCESSING,2026-01-22 15:03:00
o_1132,c_132,p_332,Fashion,723.0,1,Credit Card,DELIVERED,2026-01-22 15:06:00
o_1133,c_133,p_333,Sports,728.25,2,Debit Card,SHIPPED,2026-01-22 15:09:00
o_1134,c_134,p_334,Toys,733.5,3,Cash,PROCESSING,2026-01-22 15:12:00
o_1135,c_135,p_335,Electronics,738.75,4,Bank Transfer,DELIVERED,2026-01-22 15:15:00
o_1136,c_136,p_336,Home,744.0,1,Credit Card,SHIPPED,2026-01-22 15:18:00
o_1137,c_137,p_337,Fashion,749.25,2,Debit Card,PROCESSING,2026-01-22 15:21:00
o_1138,c_138,p_338,Sports,754.5,3,Cash,DELIVERED,2026-01-22 15:24:00
o_1139,c_139,p_339,Toys,759.75,4,Bank Transfer,SHIPPED,2026-01-22 15:27:00
o_1140,c_140,p_340,Electronics,765.0,1,Credit Card,PROCESSING,2026-01-22 15:30:00
o_1141,c_141,p_341,Home,770.25,2,Debit Card,DELIVERED,2026-01-22 15:33:00
o_1142,c_142,p_342,Fashion,775.5,3,Cash,SHIPPED,2026-01-22 15:36:00
o_1143,c_143,p_343,Sports,780.75,4,Bank Transfer,PROCESSING,2026-01-22 15:39:00
o_1144,c_144,p_344,Toys,786.0,1,Credit Card,DELIVERED,2026-01-22 15:42:00
o_1145,c_145,p_345,Electronics,791.25,2,Debit Card,SHIPPED,2026-01-22 15:45:00
o_1146,c_146,p_346,Home,796.5,3,Cash,PROCESSING,2026-01-22 15:48:00
o_1147,c_147,p_347,Fashion,801.75,4,Bank Transfer,DELIVERED,2026-01-22 15:51:00
o_1148,c_148,p_348,Sports,807.0,1,Credit Card,SHIPPED,2026-01-22 15:54:00
o_1149,c_149,p_349,Toys,812.25,2,Debit Card,PROCESSING,2026-01-22 15:57:00
o_1150,c_150,p_350,Electronics,817.5,3,Cash,DELIVERED,2026-01-22 16:00:00
