order_id,customer_id,order_channel,region,store_name,product_category,order_amount,quantity,payment_method,order_status,order_ts
EUO-2024,CUST-95380,STORE,EU,Berlin Store,Electronics,396.74,1,Bank Transfer,PROCESSING,2026-02-01 11:12:00
EUO-2025,CUST-48034,STORE,EU,Rome Store,Books,1223.14,5,Google Pay,DELIVERED,2026-02-01 15:50:00
EUO-2026,CUST-80233,STORE,EU,Rome Store,Electronics,204.31,3,Bank Transfer,SHIPPED,2026-02-01 14:20:00
EUO-2027,CUST-57921,STORE,EU,Madrid Store,Books,775.9,4,Google Pay,SHIPPED,2026-02-01 11:48:00
EUO-2028,CUST-51901,STORE,EU,Madrid Store,Beauty,723.92,3,PayPal,SHIPPED,2026-02-01 17:56:00
EUO-2029,CUST-96485,STORE,EU,Berlin Store,Sports,1374.28,6,Credit Card,DELIVERED,2026-02-01 15:48:00
EUO-2030,CUST-27156,STORE,EU,Amsterdam Store,Beauty,234.85,6,PayPal,DELIVERED,2026-02-01 18:00:00
EUO-2031,CUST-31463,STORE,EU,Madrid Store,Grocery,913.87,4,Bank Transfer,PROCESSING,2026-02-01 17:45:00
EUO-2032,CUST-13412,STORE,EU,Rome Store,Electronics,247.21,5,Apple Pay,SHIPPED,2026-02-01 14:48:00
EUO-2033,CUST-19128,STORE,EU,Berlin Store,Electronics,797.81,6,Apple Pay,PROCESSING,2026-02-01 19:21:00
EUO-2034,CUST-83060,STORE,EU,Amsterdam Store,Books,489.52,5,Google Pay,DELIVERED,2026-02-01 12:16:00
EUO-2035,CUST-46530,STORE,EU,Amsterdam Store,Books,963.38,6,Apple Pay,PROCESSING,2026-02-01 18:45:00
EUO-2036,CUST-60554,STORE,EU,Amsterdam Store,Electronics,737.93,4,Bank Transfer,SHIPPED,2026-02-01 19:00:00
EUO-2037,CUST-90152,STORE,EU,Berlin Store,Beauty,1427.83,6,Bank Transfer,SHIPPED,2026-02-01 19:52:00
EUO-2038,CUST-15803,STORE,EU,Rome Store,Fashion,449.12,4,Google Pay,PROCESSING,2026-02-01 21:24:00
EUO-2039,CUST-90606,STORE,EU,Madrid Store,Sports,1581.04,4,Google Pay,PROCESSING,2026-02-01 15:12:00
EUO-2040,CUST-19353,STORE,EU,Berlin Store,Grocery,989.71,2,Credit Card,DELIVERED,2026-02-01 12:40:00
EUO-2041,CUST-88601,STORE,EU,Madrid Store,Toys,833.5,5,Bank Transfer,SHIPPED,2026-02-01 17:31:00
EUO-2042,CUST-29704,STORE,EU,Amsterdam Store,Toys,89.02,5,PayPal,DELIVERED,2026-02-01 17:00:00
EUO-2043,CUST-87198,STORE,EU,Madrid Store,Toys,1779.98,6,Credit Card,SHIPPED,2026-02-01 19:19:00
EUO-2044,CUST-47224,STORE,EU,Berlin Store,Beauty,831.81,5,PayPal,DELIVERED,2026-02-01 14:24:00
EUO-2045,CUST-25845,STORE,EU,Paris Store,Books,1725.99,4,PayPal,PROCESSING,2026-02-01 17:30:00
EUO-2046,CUST-97606,STORE,EU,Paris Store,Beauty,798.79,3,Bank Transfer,DELIVERED,2026-02-01 23:02:00
EUO-2047,CUST-66620,STORE,EU,Madrid Store,Fashion,353.58,1,Credit Card,SHIPPED,2026-02-01 17:03:00
EUO-2048,CUST-46991,STORE,EU,Madrid Store,Sports,464.52,2,PayPal,SHIPPED,2026-02-01 12:24:00
EUO-2049,CUST-47404,STORE,EU,Berlin Store,Toys,1358.55,6,Bank Transfer,PROCESSING,2026-02-01 14:05:00
EUO-2050,CUST-68790,STORE,EU,Rome Store,Electronics,1070.55,1,PayPal,DELIVERED,2026-02-01 17:30:00
EUO-2051,CUST-71052,STORE,EU,Amsterdam Store,Sports,1057.88,4,PayPal,SHIPPED,2026-02-01 22:45:00
EUO-2052,CUST-16120,STORE,EU,Rome Store,Beauty,479.0,4,Bank Transfer,PROCESSING,2026-02-01 21:16:00
EUO-2053,CUST-96207,STORE,EU,Rome Store,Grocery,941.87,1,Apple Pay,DELIVERED,2026-02-02 01:01:00
EUO-2054,CUST-37261,STORE,EU,Madrid Store,Home,1430.92,4,Bank Transfer,DELIVERED,2026-02-01 18:06:00
EUO-2055,CUST-34244,STORE,EU,Amsterdam Store,Grocery,1285.16,2,Bank Transfer,DELIVERED,2026-02-01 12:45:00
EUO-2056,CUST-75827,STORE,EU,Rome Store,Electronics,361.78,2,Apple Pay,DELIVERED,2026-02-02 02:48:00
EUO-2057,CUST-69361,STORE,EU,Paris Store,Toys,482.93,6,Apple Pay,DELIVERED,2026-02-01 12:51:00
EUO-2058,CUST-93124,STORE,EU,Amsterdam Store,Books,150.78,5,Apple Pay,PROCESSING,2026-02-02 00:30:00
EUO-2059,CUST-31910,STORE,EU,Madrid Store,Fashion,1701.59,1,Bank Transfer,SHIPPED,2026-02-01 19:50:00
EUO-2060,CUST-49400,STORE,EU,Madrid Store,Books,135.78,1,Credit Card,PROCESSING,2026-02-01 15:00:00
EUO-2061,CUST-62848,STORE,EU,Amsterdam Store,Beauty,901.81,3,Credit Card,DELIVERED,2026-02-01 15:05:00
EUO-2062,CUST-57707,STORE,EU,Rome Store,Toys,1526.59,1,Google Pay,PROCESSING,2026-02-01 23:26:00
EUO-2063,CUST-36020,STORE,EU,Madrid Store,Toys,602.09,5,PayPal,PROCESSING,2026-02-02 04:54:00
EUO-2064,CUST-67398,STORE,EU,Amsterdam Store,Grocery,1438.13,1,Google Pay,DELIVERED,2026-02-01 19:36:00
EUO-2065,CUST-91794,STORE,EU,Amsterdam Store,Home,1344.37,1,Apple Pay,DELIVERED,2026-02-01 13:15:00
EUO-2066,CUST-81502,STORE,EU,Paris Store,Sports,1026.33,3,Apple Pay,PROCESSING,2026-02-01 15:30:00
EUO-2067,CUST-61836,STORE,EU,Berlin Store,Toys,702.46,5,Credit Card,PROCESSING,2026-02-01 23:24:00
EUO-2068,CUST-73271,STORE,EU,Rome Store,Fashion,1457.32,5,Bank Transfer,DELIVERED,2026-02-02 01:52:00
EUO-2069,CUST-74612,STORE,EU,Amsterdam Store,Beauty,1108.85,3,PayPal,SHIPPED,2026-02-01 21:30:00
EUO-2070,CUST-84489,STORE,EU,Berlin Store,Beauty,317.13,3,PayPal,SHIPPED,2026-02-01 20:30:00
EUO-2071,CUST-49080,STORE,EU,Rome Store,Beauty,504.6,4,Apple Pay,SHIPPED,2026-02-01 17:06:00
EUO-2072,CUST-68715,STORE,EU,Berlin Store,Home,283.77,4,Apple Pay,SHIPPED,2026-02-01 14:48:00
EUO-2073,CUST-81664,STORE,EU,Berlin Store,Books,810.33,2,Bank Transfer,PROCESSING,2026-02-02 03:02:00
EUO-2074,CUST-77318,STORE,EU,Madrid Store,Grocery,383.37,3,Google Pay,SHIPPED,2026-02-02 00:48:00
EUO-2075,CUST-32314,STORE,EU,Paris Store,Electronics,1449.08,3,Credit Card,SHIPPED,2026-02-02 06:00:00
EUO-2076,CUST-68795,STORE,EU,Berlin Store,Grocery,1065.74,4,Credit Card,PROCESSING,2026-02-02 08:48:00
EUO-2077,CUST-18270,STORE,EU,Amsterdam Store,Electronics,1142.59,6,Apple Pay,PROCESSING,2026-02-01 18:59:00
EUO-2078,CUST-50339,STORE,EU,Paris Store,Fashion,498.45,3,Credit Card,SHIPPED,2026-02-02 02:54:00
EUO-2079,CUST-47544,STORE,EU,Rome Store,Toys,1762.08,2,Google Pay,SHIPPED,2026-02-02 05:45:00
EUO-2080,CUST-14989,STORE,EU,Berlin Store,Electronics,1387.67,4,Google Pay,PROCESSING,2026-02-01 23:20:00
EUO-2081,CUST-90886,STORE,EU,Berlin Store,Beauty,198.36,4,Google Pay,SHIPPED,2026-02-02 03:33:00
EUO-2082,CUST-53230,STORE,EU,Rome Store,Home,1738.41,1,Credit Card,PROCESSING,2026-02-02 05:08:00
EUO-2083,CUST-94255,STORE,EU,Paris Store,Home,1542.71,5,Google Pay,DELIVERED,2026-02-02 06:45:00
EUO-2084,CUST-82068,STORE,EU,Madrid Store,Beauty,1094.92,4,Google Pay,SHIPPED,2026-02-02 05:36:00
EUO-2085,CUST-36474,STORE,EU,Amsterdam Store,Fashion,338.89,6,Google Pay,PROCESSING,2026-02-02 05:50:00
EUO-2086,CUST-66104,STORE,EU,Berlin Store,Toys,265.34,5,Credit Card,PROCESSING,2026-02-01 22:54:00
EUO-2087,CUST-36078,STORE,EU,Rome Store,Toys,1654.81,4,PayPal,DELIVERED,2026-02-02 12:06:00
EUO-2088,CUST-68862,STORE,EU,Berlin Store,Grocery,737.56,3,Credit Card,SHIPPED,2026-02-02 03:36:00
EUO-2089,CUST-30910,STORE,EU,Berlin Store,Toys,219.77,4,Bank Transfer,PROCESSING,2026-02-01 23:21:00
EUO-2090,CUST-65467,STORE,EU,Rome Store,Books,198.55,3,Credit Card,PROCESSING,2026-02-02 07:00:00
EUO-2091,CUST-73775,STORE,EU,Rome Store,Electronics,872.9,1,Apple Pay,PROCESSING,2026-02-02 07:14:00
EUO-2092,CUST-25495,STORE,EU,Paris Store,Toys,768.06,3,Google Pay,PROCESSING,2026-02-01 19:12:00
EUO-2093,CUST-73619,STORE,EU,Amsterdam Store,Sports,1448.08,5,PayPal,DELIVERED,2026-02-01 19:18:00
EUO-2094,CUST-56133,STORE,EU,Amsterdam Store,Home,229.15,5,Bank Transfer,PROCESSING,2026-02-02 12:38:00
EUO-2095,CUST-95247,STORE,EU,Paris Store,Books,1092.54,5,Google Pay,SHIPPED,2026-02-01 21:05:00
EUO-2096,CUST-70462,STORE,EU,Paris Store,Sports,438.26,6,Credit Card,SHIPPED,2026-02-02 03:36:00
EUO-2097,CUST-71076,STORE,EU,Rome Store,Home,840.5,6,PayPal,DELIVERED,2026-02-02 03:47:00
EUO-2098,CUST-50786,STORE,EU,Rome Store,Toys,664.29,1,Bank Transfer,DELIVERED,2026-02-02 12:08:00
EUO-2099,CUST-74338,STORE,EU,Rome Store,Home,1061.63,3,Google Pay,PROCESSING,2026-02-02 02:30:00
EUO-2100,CUST-90690,STORE,EU,Rome Store,Beauty,1596.14,2,PayPal,DELIVERED,2026-02-02 09:20:00
